key,OE School System Code,System Name,System Street Address,System City,System County,System State,System Zip Code,Chief Administrative Officer,Number of School Campus Forms,System Pupils: American Indian,System Pupils: Black,System Pupils: Asian American,System Pupils: Spanish Surname,System Pupils: Other,System Pupils: Total,Nonresident Pupils,Resident Pupils,Resident Pupils in another System,Resident Pupils in nonpublic schools,Resident School Age not in School,System Teachers: American Indian,System Teachers: Black,System Teachers: Asian,System Teachers: Spanish Surname,System Teachers: Other,System Teachers: Total,Professional Staff: American Indian,Professional Staff: Black,Professional Staff: Asian,Professional Staff: Spanish Surname,Professional Staff: Other,Professional Staff: Total,Professionals in more than one school: American Indian,Professionals in more than one school: Black,Professionals in more than one school: Asian,Professionals in more than one school: Spanish Surname,Professionals in more than one school: Other,Professionals in more than one school: Total,Year,State Code,SRG Code,Assurance,Litigation Code,Sampling Weight ,Pupils in Another System: American Indian,Pupils in Another System: Black,Pupils in Another System: Asian American,Pupils in Another System: Spanish Surname,Pupils in Another System: Other,Pupils in Non-Public Schools: American Indian,Pupils in Non-Public Schools: Black,Pupils in Non-Public Schools: Asian American,Pupils in Non-Public Schools: Spanish Surname,Pupils in Non-Public Schools: Other,School Age not in School: American Indian,School Age not in School: Black,School Age not in School: Asian American,School Age not in School: Spanish Surname,School Age not in School: Other,Non-Resident Pupils: American Indian,Non-Resident Pupils: Black,Non-Resident Pupils: Asian American,Non-Resident Pupils: Spanish Surname,Non-Resident Pupils: Other,Resident Pupils: American Indian,Resident Pupils: Black,Resident Pupils: Asian American,Resident Pupils: Spanish Surname,Resident Pupils: Other,1970 OE code
3136,3208730,CHARLEVOIX PUBLIC SCH DIST,GARFIELD STREET,CHARLEVOIX  MICH,Montcalm,Michigan,49720.0,,4,22,3,0,2,1541,0,0,0,0,0,0,0,0,0,0,73,0,0,0,0,0,79,0,0,0,0,0,0,0,0,0,64424509440,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3208730
3137,3208770,LOTTE PUBLIC SCHOOLS,378 STATE STREET,LOTTE  MICH,Eaton,Michigan,48813.0,,7,1,0,5,41,3769,0,0,0,0,0,0,0,0,0,0,128,0,0,0,0,0,140,0,0,0,0,0,0,0,0,0,98784247810,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3208760
3138,3208940,CHELSEA SCHOOL DISTRICT,,CHELSEA  MICH,Eaton,Michigan,48118.0,,5,5,103,2,15,2441,0,0,0,12,0,0,0,1,1,0,114,0,0,2,1,0,130,0,0,0,0,0,0,0,0,0,347892350979,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3208940
3139,3209060,CHERRY HILL SCHOOL DISTRICT,28500 AVONDALE,Inkster,Wayne,Michigan,48141.0,,7,7,16,10,38,4556,0,0,0,15,0,0,0,0,0,0,178,0,0,1,0,0,196,0,0,0,0,0,0,0,0,0,352187318272,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3209060
3140,3209150,CHESANING UNION SCHOOLS,850 N FOURTH STREET,CHESANING  MICH,Saginaw,Michigan,48616.0,,0,11,20,0,130,3399,0,0,0,0,0,0,0,0,0,0,134,0,0,0,0,0,146,0,0,0,0,0,0,0,0,0,313532612613,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3209150
3141,3209560,CHIPPEWA HILLS SCHOOL DIST,ARTHUR ROAD,REMUS  MICH,Mecosta,Michigan,49340.0,,0,10,40,1,11,2172,0,0,0,0,0,0,0,0,0,0,104,0,0,0,0,0,118,0,0,0,0,0,0,0,0,0,231928233986,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3209560
3142,3209570,VALLEY SCHOOLS,19230 CASS AVENUE,MT CLEMENS  MICH,Macomb,Michigan,48043.0,,5,0,5,6,16,2859,0,0,0,0,0,0,0,0,0,0,135,0,0,0,0,0,153,0,0,0,0,0,0,0,0,0,214748364807,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3209570
3143,3209750,CLARE PUBLIC SCHOOLS,305 EAST WHEATON STREET,CLARE  MICH,Clare,Michigan,48617.0,,2,3,0,0,0,1929,0,0,0,1,0,0,0,0,0,0,74,0,0,0,0,0,81,0,0,0,0,0,0,0,0,0,77309411329,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3209750
3144,3209840,ENCEVILLE SCHOOL DIST,28830 WEST EIGHT MILE,FARMINGTON  MICH,Oakland,Michigan,48024.0,,6,5,0,4,4,3818,0,0,0,13,0,0,0,0,0,0,158,0,0,0,0,0,193,0,0,0,0,0,0,0,0,0,270582939657,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3209840
3145,3209900,KSTON COMM SCH DIST,6389 CLARKSTON ROAD,CLARKSTON  MICH,Oakland,Michigan,48016.0,,9,0,26,2,32,6555,0,0,0,0,0,0,0,0,1,0,246,0,0,0,1,0,269,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3209900
