key,OE School System Code,System Name,System Street Address,System City,System County,System State,System Zip Code,Chief Administrative Officer,Number of School Campus Forms,System Pupils: American Indian,System Pupils: Black,System Pupils: Asian American,System Pupils: Spanish Surname,System Pupils: Other,System Pupils: Total,Nonresident Pupils,Resident Pupils,Expelled: American Indian,Expelled: Black,Expelled: Asian,Expelled: Spanish Surname,Expelled: Other,Expelled: Total,Resident Pupils in another System,Resident Pupils in nonpublic schools,Resident School Age not in School,System Teachers: American Indian,System Teachers: Black,System Teachers: Asian,System Teachers: Spanish Surname,System Teachers: Other,System Teachers: Total,Professional Staff: American Indian,Professional Staff: Black,Professional Staff: Asian,Professional Staff: Spanish Surname,Professional Staff: Other,Professional Staff: Total,Professionals in more than one school: American Indian,Professionals in more than one school: Black,Professionals in more than one school: Asian,Professionals in more than one school: Spanish Surname,Professionals in more than one school: Other,Professionals in more than one school: Total,Bilingual Instruction,Bilingual Teachers,Bilingual Pupils,Bilingual Material,New School Property,New School Construction,New School Capacity,New School (Greater Minority) Composition,Year,State Code,Assurance,Litigation Code,Selection Code,Sampling Weight ,Pupils in Another System: American Indian,Pupils in Another System: Black,Pupils in Another System: Asian American,Pupils in Another System: Spanish Surname,Pupils in Another System: Other,Pupils in Non-Public Schools: American Indian,Pupils in Non-Public Schools: Black,Pupils in Non-Public Schools: Asian American,Pupils in Non-Public Schools: Spanish Surname,Pupils in Non-Public Schools: Other,School Age not in School: American Indian,School Age not in School: Black,School Age not in School: Asian American,School Age not in School: Spanish Surname,School Age not in School: Other
5173,4301080,CURRITUCK COUNTY,B    B    B    B    B    B,CURRITUCK,Currituck,North Carolina,27929,F L PENDERGRASS,5,0,571,3,1,1513,0,0,2088,0,0,0,0,0,0,20,45,0,0,16,0,0,67,0,0,18,0,0,75,0,0,2,0,0,4,0,0,0,0,0,0,2,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5174,4301110,DARE COUNTY,P.O.BOX 638,Manteo,Dare,North Carolina,27954,SETH B HENDERSON,4,0,131,0,0,1460,0,0,1591,0,0,0,0,0,0,0,0,5,0,2,0,0,70,0,0,2,0,0,73,0,0,0,0,0,3,0,0,0,0,0,0,0,1,1,0,0,1,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5175,4301140,DAVIDSON COUNTY,DRAWER 1229,Lexington,Davidson,North Carolina,27292,E LAWSON BROWN,24,18,638,2,5,14050,0,26,14687,0,3,0,0,3,0,30,49,12,0,11,0,1,549,0,0,11,0,1,597,0,0,2,0,0,28,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5176,4301170,E COUNTY,PO BOX 447,Mocksville,Davie,North Carolina,27028,JAMES E EVERIDGE,7,0,639,1,0,3792,0,0,4432,0,1,0,0,1,0,7,10,29,0,19,0,0,148,0,0,20,0,0,164,0,0,0,0,0,3,0,0,0,0,0,2,0,0,0,0,0,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5177,4301200,DUPLIN COUNTY,MAIN BOX 128,Kenansville,Duplin,North Carolina,28349,C H YELVERTON,19,2,4336,2,1,5569,0,82,9828,0,8,0,0,0,0,30,300,71,0,167,1,2,260,0,0,181,1,2,285,0,0,5,0,0,13,0,0,0,0,0,1,0,2,3,0,0,3,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5178,4301230,DURHAM CITY     ,E CHAPEL HILL & CLEVELAND STRE,Durham,Durham,North Carolina,27702,LEW W HANNEN,25,3,7744,18,7,3666,0,21,11417,0,9,0,0,4,0,35,342,66,0,240,0,0,238,0,0,285,0,0,284,0,0,27,0,0,40,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5179,4301260,OUNTY SCHOOLS,BOX 3823                      ,Durham,Durham,North Carolina,,C H CHEWNING SR,20,10,3409,22,17,11705,0,100,15063,0,0,0,0,19,0,39,1188,50,0,97,0,1,513,0,1,115,0,1,564,0,0,16,0,0,67,0,0,0,0,0,1,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5180,4301320,EDGECOMBE COUNTY,PEARL STREET,Tarboro,Edgecombe,North Carolina,27886,LEE R HALL,10,0,4854,0,0,2288,0,0,7142,0,16,0,0,4,0,5,160,250,0,133,0,0,139,0,0,146,0,0,150,0,0,6,0,0,10,0,0,0,0,0,2,2,0,5,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5181,4301380,ELKIN CITY SCHOOLS,241 CHURCH STREET,Elkin,Surry,North Carolina,28621,N H CARPENTER,3,2,89,0,0,1081,0,143,1029,0,0,0,0,0,0,20,10,1,0,2,0,0,51,0,0,2,0,0,58,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,0,0,1,1,6,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5182,4301410,ELM CITY,P O BOX 504,ELM CITY,Wilson,North Carolina,27822,J P HUMPHREY,2,0,892,0,0,639,0,193,1338,0,0,0,0,0,0,0,25,35,0,29,0,0,34,0,0,32,0,0,36,0,0,1,0,0,1,0,0,0,0,0,0,2,0,0,0,0,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5183,4301440,FAIRMONT CITY SCHOOLS,106 TRINITY STREET,Fairmont,Robeson,North Carolina,28340,LEON M MCLEAN,4,709,1230,0,0,831,0,1,2769,0,2,0,0,0,0,0,40,0,13,38,0,1,64,0,14,42,0,1,68,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5184,4301470,FAYETTEVILLE CITY,HULL & MCNUTT ROAD P O BOX 532,Fayetteville,Cumberland,North Carolina,28303,R MAX ABBOTT,19,48,6098,96,78,5315,0,250,11385,0,0,0,0,0,0,0,1010,4,21,178,0,0,288,0,24,209,0,0,316,0,0,8,0,0,9,0,0,0,0,0,0,0,1,3,0,0,1,1,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5185,4301500,FORSYTH CO-WINSTON SALEM CITY ,GRANVILLE DR & ACADEMY ST BOX ,Winston-Salem,Forsyth,North Carolina,27102,MARVIN WARD SUPT,67,18,14164,22,7,32464,0,19,46656,0,19,0,0,16,0,90,4943,44,0,485,0,0,1299,0,1,567,0,0,1466,0,0,12,0,0,39,0,0,0,0,0,1,1,0,2,0,0,3,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5186,4301530,FRANKLIN COUNTY               ,PO BOX 449                    ,Louisburg,Franklin,North Carolina,27549,WARREN W SMITH,10,0,2879,0,0,2160,0,33,5006,0,5,0,0,2,0,16,198,35,0,77,0,0,147,0,0,79,0,0,155,0,0,2,0,0,7,0,0,0,0,0,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5187,4301560,TON CITY,19 S MAIN,Franklinton,Franklin,North Carolina,27525,ROSSIE B GORDON,2,0,865,0,0,565,0,4,1426,0,4,0,0,1,0,2,25,0,0,25,0,0,36,0,0,26,0,0,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5188,4301620,GASTON COUNTY,P O BOX 1397,Gastonia,Gaston,North Carolina,28052,W H BROWN,55,7,5118,3,0,28045,0,15,33158,0,7,0,0,0,0,17,0,0,0,166,0,0,1147,0,0,183,0,0,1266,0,0,4,0,0,23,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5189,4301680,GATES COUNTY BOARD OF EUCATION,125,Gatesville,Gates,North Carolina,27938,GEORGE W STANCIL,6,0,1546,0,0,771,0,0,2317,0,0,0,0,0,0,0,35,0,0,47,0,0,43,0,0,53,0,0,50,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5190,4301740,GOLDSBORO CITY                ,2001 EAST ROYAL AVENUE,Goldsboro,Wayne,North Carolina,27530,DR JAMES A BUIE,9,3,3920,1,0,2659,0,67,6516,0,23,0,0,5,0,4,998,43,0,114,1,0,133,0,0,132,1,0,151,0,0,1,0,0,4,0,0,0,0,0,0,0,0,0,0,0,3,4,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5191,4301770,GRAHAM COUNTY,PO BOX 605,Robbinsville,Graham,North Carolina,28771,MODEAL WALSH SUPT,4,95,0,0,0,1490,0,0,1584,0,0,0,0,0,0,0,0,0,0,0,0,1,70,0,0,0,0,1,72,0,0,0,0,0,3,0,0,0,0,0,0,1,0,1,0,0,1,1,6,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5192,4301800,GRANVILLE COUNTY,101 DELACROIX STREET,Oxford,Granville,North Carolina,27565,L C ADCOCK,14,0,4061,1,6,3539,0,0,7607,0,10,0,0,2,0,0,200,0,0,111,0,0,208,0,0,117,0,0,221,0,0,5,0,0,25,0,0,0,0,0,1,0,1,2,0,0,2,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5193,4301830,GREENE COUNTY,BOX 308,Snow Hill,Greene,North Carolina,28580,GEORGE S TAYLOR,9,0,2608,0,0,1569,0,0,4177,0,7,0,0,3,0,25,225,12,0,60,0,0,116,0,0,70,0,0,133,0,0,1,0,0,4,0,0,0,0,0,2,2,2,0,0,0,3,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5194,4301860,NSBORO PUBLIC SCHOOLS,712 NORTH EUGENE STREET,Greensboro,Guilford,North Carolina,27402,DR W J HOUSE,46,100,10424,75,0,17722,0,46,28275,0,21,0,0,0,0,51,1650,325,0,361,0,0,872,0,0,405,0,0,999,0,0,15,0,0,58,0,0,0,0,0,1,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5195,4301890,NVILLE CITY SCHOOLS,PO BOX 1009,NVILLE,Pitt,North Carolina,27834,DR CLEET C CLEETWOOD,9,4,2369,11,3,3405,0,70,5722,0,37,0,0,0,0,150,363,140,2,68,0,1,161,0,2,75,0,1,183,0,0,4,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5196,4301920,GUILFORD COUNTY,120 FRANKLIN BOULEVARD,NSBORO,Guilford,North Carolina,27402,E P PEARCE JR,38,84,3318,8,12,20760,0,118,24064,0,0,0,0,3,0,109,180,1066,8,106,1,2,812,0,8,128,1,2,916,0,0,12,0,0,45,0,0,0,0,0,0,0,1,0,0,0,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5197,4301950,HALIFAX COUNTY,POST OFFICE BOX 168,Halifax,Halifax,North Carolina,27839,W HENRY OVERMAN,17,290,7325,1,0,1118,0,0,8734,0,5,0,0,0,0,13,500,0,1,267,0,0,103,0,1,304,0,0,118,0,0,8,0,0,3,0,0,0,0,0,2,0,0,5,0,0,3,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5198,4302010,HARNETT,PO BOX 1027,Lillington,Harnett,North Carolina,27546,R A GRAY,19,72,4015,11,5,7859,0,57,11905,0,7,0,0,3,0,45,175,90,0,120,0,1,374,0,0,133,0,1,402,0,0,5,0,0,12,0,0,0,0,0,1,0,2,2,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5199,4302040,HAYWOOD,MONTGOMERY,Waynesville,Haywood,North Carolina,2878,W T BIRD,17,10,164,5,3,8798,0,3,8977,0,3,0,0,7,0,0,90,9,0,3,0,0,370,0,0,3,0,0,414,0,0,0,0,0,23,0,0,0,0,0,0,0,0,5,0,0,1,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5200,4302100,HENDERSON COUNTY,125 EAST ALLEN STREET,Hendersonville,Henderson,North Carolina,28739,GLENN C MARLOW,14,1,190,6,4,6945,0,248,6898,0,0,0,0,2,0,348,386,25,0,2,0,0,265,0,0,2,0,0,282,0,0,0,0,0,4,0,0,0,0,0,2,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5201,4302130,NVILLE CITY,129 FIFTH AVENUE WES,Hendersonville,Henderson,North Carolina,,HUGH D RANDALL,4,0,397,0,0,1617,0,300,1714,0,0,0,0,0,0,300,50,20,0,7,0,0,88,0,0,7,0,0,93,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5202,4302160,HERTFORD COUNTY,P O BOX 158,Winton,Hertford,North Carolina,27986,R P MARTIN,9,3,4143,2,4,1646,0,0,5798,0,16,0,0,4,0,0,350,30,0,135,0,1,100,0,0,154,0,1,108,0,0,11,0,0,4,0,0,0,0,0,0,0,0,0,0,0,2,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5203,4302190,HICKORY CITY,432 FOURTH AVENUE S W,Hickory,Catawba,North Carolina,28601,DR JOSEPH H WISHON,14,10,1078,12,1,4971,0,121,5951,0,1,0,0,0,0,49,330,0,0,24,0,0,210,0,0,25,0,0,232,0,0,1,0,0,9,0,0,0,0,0,0,0,0,0,0,0,1,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5204,4302220,HIGH POINT,900 ENGLISH ROAD,High Point,Guilford,North Carolina,27260,DR DEAN B PRUETTE,16,69,3942,0,7,7355,0,69,11304,0,10,0,0,16,0,35,935,1510,1,102,0,2,370,0,1,113,0,2,407,0,0,4,0,0,25,0,0,0,0,0,0,1,1,2,0,0,3,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5205,4302250,HOKE COUNTY,109 E EDINBOROUGH AVE,Raeford,Hoke,North Carolina,28376,D D ABERNETHY,8,678,2495,0,1,1586,0,5,4755,0,0,0,0,0,0,5,50,0,23,79,0,0,97,0,25,82,0,0,106,0,2,0,0,0,8,0,0,0,0,0,0,2,2,0,0,0,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
