key,OE School System Code,System Name,System Street Address,System City,System County,System State,System Zip Code,Chief Administrative Officer,Number of School Campus Forms,System Pupils: American Indian,System Pupils: Black,System Pupils: Asian American,System Pupils: Spanish Surname,System Pupils: Other,System Pupils: Total,Resident Pupils in another System,Resident Pupils in nonpublic schools,Resident School Age not in School,System Teachers: American Indian,System Teachers: Black,System Teachers: Asian,System Teachers: Spanish Surname,System Teachers: Other,System Teachers: Total,Professional Staff: American Indian,Professional Staff: Black,Professional Staff: Asian,Professional Staff: Spanish Surname,Professional Staff: Other,Professional Staff: Total,Professionals in more than one school: American Indian,Professionals in more than one school: Black,Professionals in more than one school: Asian,Professionals in more than one school: Spanish Surname,Professionals in more than one school: Other,Professionals in more than one school: Total,Year,State Code,SRG Code,Assurance,Litigation Code,Sampling Weight ,School Age not in School: American Indian,School Age not in School: Black,School Age not in School: Asian American,School Age not in School: Spanish Surname,School Age not in School: Other,Non-Resident Pupils: American Indian,Non-Resident Pupils: Black,Non-Resident Pupils: Asian American,Non-Resident Pupils: Spanish Surname,Non-Resident Pupils: Other,Resident Pupils: American Indian,Resident Pupils: Black,Resident Pupils: Asian American,Resident Pupils: Spanish Surname,Resident Pupils: Other,1970 OE code,
1945,2412420,WARSAW COMMUNITY SCHOOLS,ADMINISTRATION BLDG. E. MAIN ST.,Warsaw,Kosciusko,Indiana,46580,DR. WILMER K. BUGHER,12,1,13,13,32,5570,0,0,0,0,0,0,0,0,0,0,0,1,0,0,232,0,0,0,0,0,23,0,0,0,15,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
1946,2413230,WHITKO C            OOL CORP,BOX 114,Pierceton,Kosciusko,Indiana,46562,FRANK KNIGHT,7,2,0,0,29,2172,0,0,0,0,0,0,0,0,0,0,0,0,0,0,118,0,0,0,0,0,0,0,0,0,7.92281625142643E+028,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
1947,2405520,LAKELAND SCHOOL CORPORATION,CORNER OF MAPLE AND NURSERY,Lagrange,LaGrange,Indiana,46761,DEAN B. SMITH,6,0,2,0,0,2326,0,0,0,0,0,0,0,0,0,0,0,0,0,0,113,0,0,0,0,0,4,0,0,0,188978561725,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
1948,2409300,PRAIRIE HEIGHTS COMMUNITY SCH CO,R#2,Lagrange,LaGrange,Indiana,,"BRICE G. DIEHL, SUPT",5,0,0,0,3,1710,0,0,0,0,0,0,0,0,0,0,0,0,0,0,81,0,0,0,0,0,0,0,0,0,702,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
1949,2401500,CENTER SCHOOL TOWNSHIP,216 E JOLIET ST,Crown Point,Lake,Indiana,46307,"GLEN R. CORBIN, CENT",3,0,2,0,0,2181,0,0,0,0,0,0,0,0,0,0,0,0,0,0,88,0,0,0,0,0,9,0,0,0,193273528323,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
1950,2402490,SCHOOL CITY OF CROWN POINT,105 NORTH COURT STREET,,Lake,Indiana,,"ROBERT J. BRANNOCK,",5,0,3,1,8,3291,0,0,0,0,0,0,0,0,0,0,0,0,0,0,144,0,0,0,0,0,3,0,0,0,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
1951,2402880,OF EAST CHICAGO,210 E COLUMBUS DRIVE,East Chicago,Lake,Indiana,46312,ERNEST R. MILLER,14,0,4167,0,2887,3359,0,0,0,0,0,0,0,0,0,0,0,142,1,17,332,0,0,6,0,1,42,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
1952,2402910,GARY,3304 PARKSIDE AVENUE,Gary,Lake,Indiana,46405,MR. KOSMAS KAYES,7,2,0,0,60,2661,0,0,0,0,0,0,0,0,0,0,1,0,0,1,118,0,0,0,0,0,5,0,0,0,7.92281625142643E+028,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
1952,2402910,GARY,3304 PARKSIDE AVENUE,Gary,Lake,Indiana,46405,MR. KOSMAS KAYES,7,2,0,0,60,2661,0,0,0,0,0,0,0,0,0,0,1,0,0,1,118,0,0,0,0,0,5,0,0,0,7.92281625142643E+028,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
1954,2404170,GRIFFITH PUBLIC SCHOOLS,132 NORTH BROAD STREET,Griffith,Lake,Indiana,46319,WILLIAM R. CHEEVER,5,0,2,3,60,4252,0,0,0,0,0,0,0,0,0,0,0,0,0,2,173,0,0,0,0,0,14,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
